,name,mass,year_only,recclass,reclat,reclong
1,Jianshi,600000.0,1890,"Iron, IIIAB",30.80833,109.5
2,Knyahinya,500000.0,1866,L/LL5,48.9,22.4
3,Ochansk,500000.0,1887,H4,57.78333,55.26667
4,Paragould,408000.0,1930,LL5,36.06667,-90.5
5,Bjurböle,330000.0,1899,L/LL4,60.4,25.8
6,Millbillillie,330000.0,1960,Eucrite-mmict,-26.45,120.36667
7,Sterlitamak,325000.0,1990,"Iron, IIIAB",53.66667,55.98333
8,Estherville,320000.0,1879,Mesosiderite-A3/4,43.41667,-94.83333
9,Bruderheim,303000.0,1960,L6,53.9,-112.88333
10,Putinga,300000.0,1937,L6,-29.03333,-53.05
